max,min,mean,median,standard deviation,variance,mode,skewness,range,interquartile range,kurtosis,kurtosis factor,peak to peak value,rms,clearance factor,shape factor,impulse factor,crest factor,sum ,percentile,level,breakdown voltage
1.52910753,-1.527682491,-0.02604299,-0.077584041,0.988432526,0.976998859,0.962421192,0.008653677,3.056790022,1.842833993,-1.480376721,-1.497181757,3.056790022,0.988775554,1.546465751,1.115402941,1.724932447,1.546465751,-52.08598085,-1.353877566,2,25
1.524108629,-1.526273556,-0.026247579,-0.076897918,0.988535042,0.977201528,0.959927022,0.008393041,3.050382185,1.841100397,-1.480227269,-1.49686728,3.050382185,0.988883443,1.541241933,1.115477243,1.719220303,1.541241933,-52.49515869,-1.354907118,2,25
1.338140001,-0.79312812,-0.069698876,-0.079955055,0.456012727,0.207947607,0.183342076,0.012643986,2.131268121,0.894312896,-1.530218295,-3.317125666,2.131268121,0.461308509,2.900748578,1.091710399,3.166777388,2.900748578,-139.3977527,-0.640339442,3,25
1.33712589,-0.786260282,-0.069512775,-0.079185729,0.456203001,0.208121178,0.178037669,0.013320058,2.123386172,0.89689463,-1.531281379,-3.318279103,2.123386172,0.46146853,2.897545127,1.091631216,3.163050711,2.897545127,-139.0255507,-0.640310474,3,25
1.346821706,-0.784406882,-0.069643371,-0.077645751,0.456046507,0.207978417,0.170757476,0.013405794,2.131228588,0.89708725,-1.530145984,-3.316789093,2.131228588,0.461333519,2.919410038,1.091622445,3.186893524,2.919410038,-139.2867415,-0.641110454,3,25
1.337103816,-0.786938779,-0.069578672,-0.077495518,0.456095098,0.208022738,0.176588464,0.013140034,2.124042595,0.898164695,-1.530880227,-3.318105389,2.124042595,0.461371791,2.898104828,1.091688296,3.163827121,2.898104828,-139.1573434,-0.63939726,3,25
1.339867624,-0.784062593,-0.069556137,-0.079360288,0.456012681,0.207947565,0.178600216,0.013305617,2.123930217,0.899258547,-1.530867654,-3.318688633,2.123930217,0.461286919,2.904629568,1.091574295,3.170618974,2.904629568,-139.1122746,-0.639758954,3,25
1.339459728,-0.784857862,-0.069568103,-0.07919765,0.456011247,0.207946258,0.176699542,0.013116011,2.12431759,0.898157097,-1.530664134,-3.318244648,2.12431759,0.461287306,2.903742876,1.091490447,3.169407608,2.903742876,-139.1362052,-0.640168965,3,25
1.339048354,-0.782646334,-0.069536948,-0.078765159,0.456059819,0.207990559,0.182456935,0.013670813,2.121694688,0.897845798,-1.530962327,-3.318579438,2.121694688,0.461330625,2.9025785,1.091534688,3.168265117,2.9025785,-139.0738958,-0.639386387,3,25
1.339094014,-0.784305984,-0.069609904,-0.078726934,0.455991707,0.207928436,0.179666618,0.013019579,2.123399998,0.89835202,-1.53073617,-3.318494412,2.123399998,0.461274295,2.903031946,1.091598342,3.168944859,2.903031946,-139.2198075,-0.639535956,3,25
