sheet1,voltage
0.260086172,5
0.262219406,5
0.258174954,5
0.261944747,5
0.260588407,5
0.258853559,5
0.263321635,5
0.26151655,5
0.254783744,5
0.258729852,5
0.260010071,5
0.262785934,5
0.259859216,5
0.263900616,5
0.262212916,5
0.262219233,5
0.26240137,5
0.265287015,5
0.258240052,5
0.260974844,5
0.263358642,5
0.257697026,5
0.253897663,5
0.260328538,5
0.259535727,5
0.258365899,5
0.258589861,5
0.261370849,5
0.257780643,5
0.258350741,5
0.266977452,5
0.261574867,5
0.261907236,5
0.262458788,5
0.263460764,5
0.259441555,5
0.262043546,5
0.263912451,5
0.257262537,5
0.258683532,5
0.255407767,5
0.262398582,5
0.258534607,5
0.251772849,5
0.261876562,5
0.260116631,5
0.263794759,5
0.262261163,5
0.280407936,5
0.284379126,5
0.257998677,5
0.26015833,5
0.284016146,5
0.282181713,5
0.277148698,5
0.2805311,5
0.279394657,5
0.260479077,5
0.280007084,5
0.279432679,5
0.275145156,5
0.284049278,5
0.28213009,5
0.262754045,5
0.27831958,5
0.266714963,5
0.261738761,5
0.257155948,5
0.258289053,5
0.260574433,5
0.254284464,5
0.259934707,5
0.261118122,5
0.258174417,5
0.254774918,5
0.256995792,5
0.260072076,5
0.238588298,5
0.242105162,5
0.240944738,5
0.23576099,5
0.241629216,5
0.240909511,5
0.219972554,5
0.237397816,5
0.245417279,5
0.225343331,5
0.216375129,5
0.220975574,5
0.220087827,5
0.220998373,5
0.240530192,5
0.223046071,5
0.217152344,5
0.219080041,5
0.21907363,5
0.22062619,5
0.214170375,5
0.220370674,5
0.229003593,5
0.222215958,5
0.222727131,5
0.211744674,5
0.241618298,5
0.224743771,5
0.241856331,5
0.218133804,5
0.222938714,5
0.224400807,5
0.219259205,5
0.246316811,5
0.240237476,5
0.237786729,5
0.2231853,5
0.238468439,5
0.24122932,5
0.218497148,5
0.243819311,5
0.242844846,5
0.239988294,5
0.240408861,5
0.223995833,5
0.26279974,5
0.235781444,5
0.243225965,5
0.216264684,5
0.242978361,5
0.235699591,5
0.241675521,5
0.237409337,5
0.216687201,5
0.22152782,5
0.24123226,5
0.241580189,5
0.236719259,5
0.21754498,5
0.237959831,5
0.26041041,5
0.23984606,5
0.240884222,5
0.238784911,5
0.237351816,5
0.240580004,5
0.2381479,5
0.261875394,5
0.253006639,5
0.259486767,5
0.26054602,5
0.243132441,5
0.257598618,5
0.25923509,5
0.258357342,5
0.255227145,5
0.259647279,5
0.259598688,5
0.257608956,5
0.258830054,5
0.255887169,5
0.280090109,5
0.280919079,5
0.276235522,5
0.279776599,5
0.278272733,5
0.278606412,5
0.280221514,5
0.277847349,5
0.280871252,5
0.278742386,5
0.295507357,5
0.296269269,5
0.295466301,5
0.295756173,5
0.323651482,5
0.31853442,5
0.316932009,5
0.31980803,5
0.319958742,5
0.338182286,5
0.324170029,5
0.322490409,5
0.344873478,5
0.341942899,5
0.337717747,5
0.339223286,5
0.344224547,5
0.335664571,5
0.336037783,5
0.341916907,5
0.339477875,5
0.339049399,5
0.344448417,5
0.33664675,5
0.338228395,5
0.34244641,5
0.336491474,5
0.337665973,5
0.339732717,5
0.336113084,5
0.343055272,5
0.33981966,5
0.339391924,5
0.334666949,5
0.336236597,5
0.336733587,5
0.32041433,5
0.325836301,5
0.316953041,5
0.324081834,5
0.321308546,5
0.317727772,5
0.301727113,5
0.320546141,5
0.320986772,5
0.297477643,5
0.300835045,5
0.302523471,5
0.304118621,5
0.301613122,5
0.300974498,5
0.301646827,5
0.277676598,5
0.299468108,5
0.297672014,5
0.278610853,5
0.299741714,5
0.303132126,5
0.278247515,5
0.280960557,5
0.286737551,5
0.283025055,5
0.276395965,5
0.281604759,5
0.279956886,5
0.278420512,5
0.283051214,5
0.28018624,5
0.254790247,5
0.280228849,5
0.281775826,5
0.254064186,5
0.262461454,5
0.257846337,5
0.25651625,5
0.258812994,5
0.257568774,5
0.263151844,5
0.254674081,5
0.244335413,5
0.261077201,5
0.259229221,5
0.240974122,5
0.2371564,5
0.233001611,5
0.241260677,5
0.222487571,5
0.221684702,5
0.224663704,5
0.220667147,5
0.217675656,5
0.221274531,5
0.223913305,5
0.222348189,5
0.220693101,5
0.218451955,5
0.2203019,5
0.223285319,5
0.200454939,5
0.198943771,5
0.199932274,5
0.203444594,5
0.201294516,5
0.201541729,5
0.199409908,5
0.20208778,5
0.199525501,5
0.199852767,5
0.202024307,5
0.201870483,5
0.199238187,5
0.196248734,5
0.200131558,5
0.194425307,5
0.200180904,5
0.179941761,5
0.178447171,5
0.180805594,5
0.180855958,5
0.174998339,5
0.177837422,5
0.178458483,5
0.182082301,5
0.160166417,5
0.159087117,5
0.181520011,5
0.161372658,5
0.177756338,5
0.162954053,5
0.178322315,5
0.181045017,5
0.163778385,5
0.163361464,5
0.157562548,5
0.159136352,5
0.163590446,5
0.160121907,5
0.159714194,5
0.160502276,5
0.163899549,5
0.16055791,5
0.138492016,5
0.140791293,5
0.140949342,5
0.139456825,5
0.134007149,5
0.160413921,5
0.14194954,5
0.137113842,5
0.138081894,5
0.13985785,5
0.13546592,5
0.157054215,5
0.139658012,5
0.136513983,5
0.140088722,5
0.144539739,5
0.146107604,5
0.142455408,5
0.141812173,5
0.119442832,5
0.143483014,5
0.140430419,5
0.143014251,5
0.143273008,5
0.145965264,5
0.120702791,5
0.143468875,5
0.146375995,5
0.119615811,5
0.141430952,5
0.118543476,5
0.117482424,5
0.125476387,5
0.121341709,5
0.118881151,5
0.143729755,5
0.121704938,5
0.121761842,5
0.140236386,5
0.125535098,5
0.121704879,5
0.142394908,5
0.118412315,5
0.12051596,5
0.123427535,5
0.119492951,5
0.115853717,5
0.117489263,5
0.125239634,5
0.09815993,5
0.099033184,5
0.120281184,5
0.098433639,5
0.120022635,5
0.097550507,5
0.103346741,5
0.118388581,5
0.101341054,5
0.100189024,5
0.10068794,5
0.097287535,5
0.097931824,5
0.100197901,5
0.122805961,5
0.101347524,5
0.100614461,5
0.098328994,5
0.102369058,5
0.093960049,5
0.097544878,5
0.100681917,5
0.080154495,5
0.07521781,5
0.08540495,5
0.078618314,5
0.082177882,5
0.06126978,5
0.058831402,5
0.077434778,5
0.055944116,5
0.059611879,5
0.040050704,5
0.040853911,5
0.035606761,5
0.035245534,5
0.020209839,5
0.020355868,5
0.020629541,5
0.020843436,5
0.003016948,5
0.003898805,5
-0.005568929,5
-0.039204561,5
-0.039886743,5
-0.062463216,5
-0.044308515,5
-0.062506754,5
-0.058804893,5
-0.058218647,5
-0.058649784,5
-0.07841241,5
-0.08296245,5
-0.077364836,5
-0.101009844,5
-0.077613101,5
-0.103518603,5
-0.119352264,5
-0.099825821,5
-0.120632816,5
-0.118810194,5
-0.122984045,5
-0.122546484,5
-0.139698684,5
-0.14349447,5
-0.13904419,5
-0.140092755,5
-0.142191784,5
-0.142593867,5
-0.139493921,5
-0.140509415,5
-0.137590477,5
-0.160267426,5
-0.162649146,5
-0.158066171,5
-0.161760064,5
-0.158213535,5
-0.160380648,5
-0.16483864,5
-0.163503878,5
-0.179456647,5
-0.160636027,5
-0.159553098,5
-0.182647369,5
-0.161513467,5
-0.178386158,5
-0.157520884,5
-0.160533565,5
-0.155065034,5
-0.173154921,5
-0.163752286,5
-0.184093152,5
-0.158150397,5
-0.155879641,5
-0.15797585,5
-0.178111588,5
-0.181069716,5
-0.183005619,5
-0.181058439,5
-0.181252562,5
-0.181178901,5
-0.179834247,5
-0.180781504,5
-0.181711339,5
-0.183096337,5
-0.178833135,5
-0.181349441,5
-0.203925316,5
-0.200072773,5
-0.183050147,5
-0.202321337,5
-0.180048088,5
-0.199254961,5
-0.200628269,5
-0.199848442,5
-0.194917508,5
-0.221432965,5
-0.199468562,5
-0.222413037,5
-0.215950026,5
-0.21922164,5
-0.220617804,5
-0.219304563,5
-0.217660832,5
-0.219303076,5
-0.219401708,5
-0.219939836,5
-0.239730666,5
-0.238812422,5
-0.235802748,5
-0.234247344,5
-0.257326561,5
-0.261387513,5
-0.266719718,5
-0.255979784,5
-0.259627897,5
-0.264413528,5
-0.28196395,5
-0.282959965,5
-0.277137408,5
-0.281289523,5
-0.280753116,5
-0.272233894,5
-0.30177539,5
-0.296047338,5
-0.325064351,5
-0.302235942,5
-0.298722576,5
-0.322634337,5
-0.304062518,5
-0.32381483,5
-0.321267168,5
-0.318077658,5
-0.339572961,5
-0.314074838,5
-0.33982826,5
-0.363732417,5
-0.339267391,5
-0.361217904,5
-0.362777572,5
-0.355911285,5
-0.362645382,5
-0.362484376,5
-0.357658391,5
-0.362625636,5
-0.3635277,5
-0.375959812,5
-0.381808901,5
-0.381963772,5
-0.379360993,5
-0.374948108,5
-0.380227231,5
-0.379488048,5
-0.376494941,5
-0.382172281,5
-0.375609538,5
-0.37754368,5
-0.400621227,5
-0.379113089,5
-0.397168837,5
-0.399701604,5
-0.398142018,5
-0.403052254,5
-0.418591861,5
-0.416615163,5
-0.398405134,5
-0.400280273,5
-0.421991403,5
-0.421979794,5
-0.420215433,5
-0.41828538,5
